 Problem ,Equation,Solution,Class
सीमा के पास 3 बिस्कुट थे। उसने 1 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,3 + 1,4,Addition
96 संतरे को 6 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,96 ÷ 6,16,Division
81 संतरे को 9 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,81 ÷ 9,9,Division
अजय के पास 17 पेंसिलें थे। उसने 5 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,17 + 5,22,Addition
श्याम के पास 41 सेब थे। उसने 19 सेब दे दिए। अब उसके पास कितने सेब बचें?,41 - 19,22,Subtraction
108 गेंदें को 9 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,108 ÷ 9,12,Division
श्याम के पास 29 टॉफियाँ थे। उसने 8 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,29 + 8,37,Addition
सुमित के पास 53 कपड़े थे। उसने 27 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,53 - 27,26,Subtraction
50 सेब को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,50 ÷ 5,10,Division
28 खिलौने को 4 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने खिलौने मिले?,28 ÷ 4,7,Division
15 कपड़े को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने कपड़े मिले?,15 ÷ 5,3,Division
सुमित ने 11 डिब्बे गेंदें खरीदे। हर डिब्बे में 6 गेंदें थे। कुल कितने गेंदें हुए?,11 * 6,66,Multiplication
सुमित के पास 100 किताबें थे। उसने 37 किताबें दे दिए। अब उसके पास कितने किताबें बचें?,100 - 37,63,Subtraction
24 सेब को 4 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,24 ÷ 4,6,Division
रीमा के पास 43 आम थे। उसने 12 और आम खरीदे। अब उसके पास कुल कितने आम हैं?,43 + 12,55,Addition
सोनू के पास 41 टॉफियाँ थे। उसने 25 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,41 + 25,66,Addition
रवि के पास 14 टॉफियाँ थे। उसने 38 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,14 + 38,52,Addition
अजय के पास 12 संतरे थे। उसने 7 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,12-Jul,5,Subtraction
रवि ने 14 डिब्बे सेब खरीदे। हर डिब्बे में 7 सेब थे। कुल कितने सेब हुए?,14 * 7,98,Multiplication
मोनू के पास 49 टॉफियाँ थे। उसने 4 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,49 + 4,53,Addition
मोनू के पास 33 संतरे थे। उसने 14 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,33 - 14,19,Subtraction
श्याम ने 4 डिब्बे कपड़े खरीदे। हर डिब्बे में 12 कपड़े थे। कुल कितने कपड़े हुए?,4 * 12,48,Multiplication
रवि के पास 4 संतरे थे। उसने 16 और संतरे खरीदे। अब उसके पास कुल कितने संतरे हैं?,4 + 16,20,Addition
135 कपड़े को 9 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने कपड़े मिले?,135 ÷ 9,15,Division
अमित के पास 35 कपड़े थे। उसने 23 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,35 + 23,58,Addition
राम के पास 9 सेब थे। उसने 14 और सेब खरीदे। अब उसके पास कुल कितने सेब हैं?,9 + 14,23,Addition
280 आम को 14 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने आम मिले?,280 ÷ 14,20,Division
132 टॉफियाँ को 11 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,132 ÷ 11,12,Division
रीमा ने 10 डिब्बे किताबें खरीदे। हर डिब्बे में 3 किताबें थे। कुल कितने किताबें हुए?,10 * 3,30,Multiplication
अमित के पास 13 कपड़े थे। उसने 50 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,13 + 50,63,Addition
राम ने 14 डिब्बे खिलौने खरीदे। हर डिब्बे में 3 खिलौने थे। कुल कितने खिलौने हुए?,14 * 3,42,Multiplication
114 गेंदें को 6 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,114 ÷ 6,19,Division
मोनू के पास 39 टॉफियाँ थे। उसने 25 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,39 + 25,64,Addition
श्याम के पास 50 खिलौने थे। उसने 28 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,50 + 28,78,Addition
राम के पास 33 टॉफियाँ थे। उसने 13 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,33 - 13,20,Subtraction
अजय के पास 20 सेब थे। उसने 15 सेब दे दिए। अब उसके पास कितने सेब बचें?,20 - 15,5,Subtraction
सुमित के पास 42 गेंदें थे। उसने 23 गेंदें दे दिए। अब उसके पास कितने गेंदें बचें?,42 - 23,19,Subtraction
अमित के पास 23 किताबें थे। उसने 12 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,23 + 12,35,Addition
सीमा के पास 23 टॉफियाँ थे। उसने 47 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,23 + 47,70,Addition
सोनू के पास 24 गेंदें थे। उसने 5 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,24 + 5,29,Addition
रवि के पास 3 कपड़े थे। उसने 28 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,3 + 28,31,Addition
मोनू ने 13 डिब्बे सेब खरीदे। हर डिब्बे में 3 सेब थे। कुल कितने सेब हुए?,13 * 3,39,Multiplication
187 सेब को 11 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,187 ÷ 11,17,Division
70 कपड़े को 10 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने कपड़े मिले?,70 ÷ 10,7,Division
108 गेंदें को 9 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,108 ÷ 9,12,Division
मोनू ने 20 डिब्बे संतरे खरीदे। हर डिब्बे में 14 संतरे थे। कुल कितने संतरे हुए?,20 * 14,280,Multiplication
12 आम को 2 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने आम मिले?,12 ÷ 2,6,Division
मोनू के पास 10 संतरे थे। उसने 4 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,10-Apr,6,Subtraction
श्याम ने 16 डिब्बे गेंदें खरीदे। हर डिब्बे में 7 गेंदें थे। कुल कितने गेंदें हुए?,16 * 7,112,Multiplication
252 संतरे को 14 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,252 ÷ 14,18,Division
45 किताबें को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने किताबें मिले?,45 ÷ 5,9,Division
रवि के पास 22 खिलौने थे। उसने 37 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,22 + 37,59,Addition
अमित के पास 77 संतरे थे। उसने 15 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,77 - 15,62,Subtraction
रीमा के पास 4 पेंसिलें थे। उसने 39 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,4 + 39,43,Addition
अमित ने 17 डिब्बे किताबें खरीदे। हर डिब्बे में 7 किताबें थे। कुल कितने किताबें हुए?,17 * 7,119,Multiplication
220 किताबें को 11 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने किताबें मिले?,220 ÷ 11,20,Division
सोनू के पास 49 बिस्कुट थे। उसने 3 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,49 + 3,52,Addition
112 टॉफियाँ को 7 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,112 ÷ 7,16,Division
28 बिस्कुट को 2 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने बिस्कुट मिले?,28 ÷ 2,14,Division
अजय के पास 82 टॉफियाँ थे। उसने 47 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,82 - 47,35,Subtraction
60 टॉफियाँ को 12 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,60 ÷ 12,5,Division
अमित के पास 23 आम थे। उसने 28 और आम खरीदे। अब उसके पास कुल कितने आम हैं?,23 + 28,51,Addition
रवि के पास 47 संतरे थे। उसने 45 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,47 - 45,2,Subtraction
रवि ने 7 डिब्बे कपड़े खरीदे। हर डिब्बे में 9 कपड़े थे। कुल कितने कपड़े हुए?,7 * 9,63,Multiplication
राम ने 12 डिब्बे संतरे खरीदे। हर डिब्बे में 4 संतरे थे। कुल कितने संतरे हुए?,12 * 4,48,Multiplication
सुमित के पास 28 टॉफियाँ थे। उसने 13 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,28 - 13,15,Subtraction
सोनू के पास 17 पेंसिलें थे। उसने 14 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,17 + 14,31,Addition
रीमा के पास 38 पेंसिलें थे। उसने 10 पेंसिलें दे दिए। अब उसके पास कितने पेंसिलें बचें?,38 - 10,28,Subtraction
मोनू ने 13 डिब्बे खिलौने खरीदे। हर डिब्बे में 8 खिलौने थे। कुल कितने खिलौने हुए?,13 * 8,104,Multiplication
140 गेंदें को 10 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,140 ÷ 10,14,Division
27 आम को 9 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने आम मिले?,27 ÷ 9,3,Division
श्याम के पास 27 सेब थे। उसने 23 और सेब खरीदे। अब उसके पास कुल कितने सेब हैं?,27 + 23,50,Addition
सीमा ने 2 डिब्बे कपड़े खरीदे। हर डिब्बे में 3 कपड़े थे। कुल कितने कपड़े हुए?,2 * 3,6,Multiplication
रीमा के पास 14 संतरे थे। उसने 35 और संतरे खरीदे। अब उसके पास कुल कितने संतरे हैं?,14 + 35,49,Addition
सीमा के पास 76 सेब थे। उसने 8 सेब दे दिए। अब उसके पास कितने सेब बचें?,76 - 8,68,Subtraction
अमित ने 16 डिब्बे खिलौने खरीदे। हर डिब्बे में 7 खिलौने थे। कुल कितने खिलौने हुए?,16 * 7,112,Multiplication
सीमा के पास 94 गेंदें थे। उसने 1 गेंदें दे दिए। अब उसके पास कितने गेंदें बचें?,94 - 1,93,Subtraction
अमित ने 18 डिब्बे खिलौने खरीदे। हर डिब्बे में 9 खिलौने थे। कुल कितने खिलौने हुए?,18 * 9,162,Multiplication
रवि के पास 25 आम थे। उसने 20 आम दे दिए। अब उसके पास कितने आम बचें?,25 - 20,5,Subtraction
रीमा के पास 10 कपड़े थे। उसने 2 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,10-Feb,8,Subtraction
रवि के पास 54 सेब थे। उसने 5 सेब दे दिए। अब उसके पास कितने सेब बचें?,54 - 5,49,Subtraction
182 पेंसिलें को 14 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,182 ÷ 14,13,Division
सोनू ने 2 डिब्बे बिस्कुट खरीदे। हर डिब्बे में 10 बिस्कुट थे। कुल कितने बिस्कुट हुए?,2 * 10,20,Multiplication
अजय के पास 50 सेब थे। उसने 40 और सेब खरीदे। अब उसके पास कुल कितने सेब हैं?,50 + 40,90,Addition
सोनू ने 16 डिब्बे टॉफियाँ खरीदे। हर डिब्बे में 7 टॉफियाँ थे। कुल कितने टॉफियाँ हुए?,16 * 7,112,Multiplication
सीमा के पास 38 किताबें थे। उसने 7 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,38 + 7,45,Addition
49 गेंदें को 7 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,49 ÷ 7,7,Division
रवि ने 8 डिब्बे सेब खरीदे। हर डिब्बे में 5 सेब थे। कुल कितने सेब हुए?,8 * 5,40,Multiplication
50 गेंदें को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,50 ÷ 5,10,Division
28 पेंसिलें को 2 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,28 ÷ 2,14,Division
रीमा के पास 1 टॉफियाँ थे। उसने 39 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,1 + 39,40,Addition
रीमा के पास 20 किताबें थे। उसने 3 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,20 + 3,23,Addition
रीमा ने 12 डिब्बे संतरे खरीदे। हर डिब्बे में 5 संतरे थे। कुल कितने संतरे हुए?,12 * 5,60,Multiplication
रवि के पास 40 आम थे। उसने 22 और आम खरीदे। अब उसके पास कुल कितने आम हैं?,40 + 22,62,Addition
30 बिस्कुट को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने बिस्कुट मिले?,30 ÷ 5,6,Division
64 खिलौने को 8 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने खिलौने मिले?,64 ÷ 8,8,Division
रवि के पास 43 बिस्कुट थे। उसने 27 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,43 + 27,70,Addition
सोनू के पास 45 पेंसिलें थे। उसने 50 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,45 + 50,95,Addition
42 टॉफियाँ को 6 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,42 ÷ 6,7,Division
अमित के पास 41 सेब थे। उसने 1 और सेब खरीदे। अब उसके पास कुल कितने सेब हैं?,41 + 1,42,Addition
210 आम को 14 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने आम मिले?,210 ÷ 14,15,Division
रीमा के पास 46 कपड़े थे। उसने 44 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,46 - 44,2,Subtraction
राम ने 7 डिब्बे पेंसिलें खरीदे। हर डिब्बे में 11 पेंसिलें थे। कुल कितने पेंसिलें हुए?,7 * 11,77,Multiplication
39 टॉफियाँ को 13 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,39 ÷ 13,3,Division
सीमा के पास 52 कपड़े थे। उसने 29 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,52 - 29,23,Subtraction
अजय ने 19 डिब्बे सेब खरीदे। हर डिब्बे में 3 सेब थे। कुल कितने सेब हुए?,19 * 3,57,Multiplication
मोनू ने 11 डिब्बे कपड़े खरीदे। हर डिब्बे में 5 कपड़े थे। कुल कितने कपड़े हुए?,11 * 5,55,Multiplication
राम के पास 38 आम थे। उसने 32 और आम खरीदे। अब उसके पास कुल कितने आम हैं?,38 + 32,70,Addition
156 संतरे को 13 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,156 ÷ 13,12,Division
श्याम ने 13 डिब्बे पेंसिलें खरीदे। हर डिब्बे में 14 पेंसिलें थे। कुल कितने पेंसिलें हुए?,13 * 14,182,Multiplication
अमित के पास 79 बिस्कुट थे। उसने 20 बिस्कुट दे दिए। अब उसके पास कितने बिस्कुट बचें?,79 - 20,59,Subtraction
सुमित ने 4 डिब्बे किताबें खरीदे। हर डिब्बे में 8 किताबें थे। कुल कितने किताबें हुए?,4 * 8,32,Multiplication
सीमा ने 18 डिब्बे पेंसिलें खरीदे। हर डिब्बे में 11 पेंसिलें थे। कुल कितने पेंसिलें हुए?,18 * 11,198,Multiplication
112 पेंसिलें को 8 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,112 ÷ 8,14,Division
सुमित के पास 10 कपड़े थे। उसने 15 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,10 + 15,25,Addition
सोनू ने 10 डिब्बे आम खरीदे। हर डिब्बे में 12 आम थे। कुल कितने आम हुए?,10 * 12,120,Multiplication
सीमा ने 16 डिब्बे बिस्कुट खरीदे। हर डिब्बे में 8 बिस्कुट थे। कुल कितने बिस्कुट हुए?,16 * 8,128,Multiplication
38 पेंसिलें को 2 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,38 ÷ 2,19,Division
रीमा ने 2 डिब्बे संतरे खरीदे। हर डिब्बे में 14 संतरे थे। कुल कितने संतरे हुए?,2 * 14,28,Multiplication
33 पेंसिलें को 11 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने पेंसिलें मिले?,33 ÷ 11,3,Division
राम ने 15 डिब्बे पेंसिलें खरीदे। हर डिब्बे में 8 पेंसिलें थे। कुल कितने पेंसिलें हुए?,15 * 8,120,Multiplication
सुमित के पास 32 सेब थे। उसने 9 और सेब खरीदे। अब उसके पास कुल कितने सेब हैं?,32 + 9,41,Addition
श्याम के पास 38 सेब थे। उसने 15 सेब दे दिए। अब उसके पास कितने सेब बचें?,38 - 15,23,Subtraction
मोनू के पास 22 गेंदें थे। उसने 5 गेंदें दे दिए। अब उसके पास कितने गेंदें बचें?,12-5,7,Subtraction
सोनू के पास 46 आम थे। उसने 8 और आम खरीदे। अब उसके पास कुल कितने आम हैं?,46 + 8,54,Addition
रीमा के पास 44 पेंसिलें थे। उसने 27 पेंसिलें दे दिए। अब उसके पास कितने पेंसिलें बचें?,44 - 27,17,Subtraction
रीमा के पास 20 पेंसिलें थे। उसने 18 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,20 + 18,38,Addition
285 संतरे को 15 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,285 ÷ 15,19,Division
मोनू के पास 75 पेंसिलें थे। उसने 28 पेंसिलें दे दिए। अब उसके पास कितने पेंसिलें बचें?,75 - 28,47,Subtraction
सोनू के पास 1 बिस्कुट थे। उसने 4 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,1 + 4,5,Addition
अमित ने 10 डिब्बे गेंदें खरीदे। हर डिब्बे में 14 गेंदें थे। कुल कितने गेंदें हुए?,10 * 14,140,Multiplication
130 संतरे को 13 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,130 ÷ 13,10,Division
22 सेब को 2 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,22 ÷ 2,11,Division
सोनू के पास 10 गेंदें थे। उसने 1 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,10 + 1,11,Addition
रीमा के पास 3 खिलौने थे। उसने 2 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,3 + 2,5,Addition
रीमा के पास 84 सेब थे। उसने 38 सेब दे दिए। अब उसके पास कितने सेब बचें?,84 - 38,46,Subtraction
सुमित के पास 76 खिलौने थे। उसने 29 खिलौने दे दिए। अब उसके पास कितने खिलौने बचें?,76 - 29,47,Subtraction
अमित के पास 18 खिलौने थे। उसने 15 खिलौने दे दिए। अब उसके पास कितने खिलौने बचें?,18 - 15,3,Subtraction
श्याम के पास 81 संतरे थे। उसने 1 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,81 - 1,80,Subtraction
अमित ने 4 डिब्बे किताबें खरीदे। हर डिब्बे में 7 किताबें थे। कुल कितने किताबें हुए?,4 * 7,28,Multiplication
अमित के पास 11 टॉफियाँ थे। उसने 49 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,11 + 49,60,Addition
रीमा के पास 30 किताबें थे। उसने 35 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,30 + 35,65,Addition
सुमित के पास 43 खिलौने थे। उसने 32 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,43 + 32,75,Addition
9 किताबें को 3 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने किताबें मिले?,9 ÷ 3,3,Division
रवि के पास 26 बिस्कुट थे। उसने 40 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,26 + 40,66,Addition
सुमित ने 11 डिब्बे पेंसिलें खरीदे। हर डिब्बे में 10 पेंसिलें थे। कुल कितने पेंसिलें हुए?,11 * 10,110,Multiplication
119 खिलौने को 7 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने खिलौने मिले?,119 ÷ 7,17,Division
105 खिलौने को 7 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने खिलौने मिले?,105 ÷ 7,15,Division
रीमा के पास 45 संतरे थे। उसने 37 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,45 - 37,8,Subtraction
75 सेब को 15 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,75 ÷ 15,5,Division
अमित के पास 50 बिस्कुट थे। उसने 14 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,50 + 14,64,Addition
30 सेब को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,30 ÷ 5,6,Division
अजय के पास 87 आम थे। उसने 2 आम दे दिए। अब उसके पास कितने आम बचें?,87 - 2,85,Subtraction
सुमित के पास 10 टॉफियाँ थे। उसने 25 और टॉफियाँ खरीदे। अब उसके पास कुल कितने टॉफियाँ हैं?,10 + 25,35,Addition
सीमा के पास 70 किताबें थे। उसने 29 किताबें दे दिए। अब उसके पास कितने किताबें बचें?,70 - 29,41,Subtraction
श्याम के पास 17 किताबें थे। उसने 7 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,17 + 7,24,Addition
श्याम के पास 11 पेंसिलें थे। उसने 21 और पेंसिलें खरीदे। अब उसके पास कुल कितने पेंसिलें हैं?,11 + 21,32,Addition
रीमा के पास 61 कपड़े थे। उसने 14 कपड़े दे दिए। अब उसके पास कितने कपड़े बचें?,61 - 14,47,Subtraction
अमित के पास 79 खिलौने थे। उसने 8 खिलौने दे दिए। अब उसके पास कितने खिलौने बचें?,79 - 8,71,Subtraction
176 टॉफियाँ को 11 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने टॉफियाँ मिले?,176 ÷ 11,16,Division
रीमा ने 5 डिब्बे खिलौने खरीदे। हर डिब्बे में 3 खिलौने थे। कुल कितने खिलौने हुए?,5 * 3,15,Multiplication
अमित के पास 36 सेब थे। उसने 33 और सेब खरीदे। अब उसके पास कुल कितने सेब हैं?,36 + 33,69,Addition
60 सेब को 15 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,60 ÷ 15,4,Division
सुमित के पास 13 बिस्कुट थे। उसने 9 और बिस्कुट खरीदे। अब उसके पास कुल कितने बिस्कुट हैं?,13 + 9,22,Addition
8 कपड़े को 4 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने कपड़े मिले?,8 ÷ 4,2,Division
20 संतरे को 4 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने संतरे मिले?,20 ÷ 4,5,Division
अमित के पास 48 संतरे थे। उसने 35 और संतरे खरीदे। अब उसके पास कुल कितने संतरे हैं?,48 + 35,83,Addition
60 खिलौने को 5 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने खिलौने मिले?,60 ÷ 5,12,Division
अमित ने 14 डिब्बे किताबें खरीदे। हर डिब्बे में 14 किताबें थे। कुल कितने किताबें हुए?,14 * 14,196,Multiplication
अमित के पास 66 संतरे थे। उसने 8 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,66 - 8,58,Subtraction
राम के पास 49 गेंदें थे। उसने 23 गेंदें दे दिए। अब उसके पास कितने गेंदें बचें?,49 - 23,26,Subtraction
मोनू ने 8 डिब्बे संतरे खरीदे। हर डिब्बे में 11 संतरे थे। कुल कितने संतरे हुए?,8 * 11,88,Multiplication
अमित के पास 43 किताबें थे। उसने 11 और किताबें खरीदे। अब उसके पास कुल कितने किताबें हैं?,43 + 11,54,Addition
सोनू ने 19 डिब्बे कपड़े खरीदे। हर डिब्बे में 8 कपड़े थे। कुल कितने कपड़े हुए?,19 * 8,152,Multiplication
श्याम के पास 48 गेंदें थे। उसने 32 गेंदें दे दिए। अब उसके पास कितने गेंदें बचें?,48 - 32,16,Subtraction
मोनू के पास 96 टॉफियाँ थे। उसने 15 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,96 - 15,81,Subtraction
सुमित के पास 92 किताबें थे। उसने 30 किताबें दे दिए। अब उसके पास कितने किताबें बचें?,92 - 30,62,Subtraction
88 बिस्कुट को 11 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने बिस्कुट मिले?,88 ÷ 11,8,Division
130 सेब को 10 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,130 ÷ 10,13,Division
84 किताबें को 6 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने किताबें मिले?,84 ÷ 6,14,Division
119 बिस्कुट को 7 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने बिस्कुट मिले?,119 ÷ 7,17,Division
अजय के पास 33 खिलौने थे। उसने 16 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,33 + 16,49,Addition
रीमा के पास 80 टॉफियाँ थे। उसने 31 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,80 - 31,49,Subtraction
सुमित के पास 33 सेब थे। उसने 4 सेब दे दिए। अब उसके पास कितने सेब बचें?,33 - 4,29,Subtraction
रवि ने 5 डिब्बे सेब खरीदे। हर डिब्बे में 7 सेब थे। कुल कितने सेब हुए?,5 * 7,35,Multiplication
रवि ने 4 डिब्बे सेब खरीदे। हर डिब्बे में 4 सेब थे। कुल कितने सेब हुए?,4 * 4,16,Multiplication
36 सेब को 12 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने सेब मिले?,36 ÷ 12,3,Division
श्याम के पास 22 आम थे। उसने 19 आम दे दिए। अब उसके पास कितने आम बचें?,22 - 19,3,Subtraction
44 गेंदें को 11 बच्चों में बराबर बाँटा गया। हर बच्चे को कितने गेंदें मिले?,44 ÷ 11,4,Division
श्याम के पास 41 खिलौने थे। उसने 7 और खिलौने खरीदे। अब उसके पास कुल कितने खिलौने हैं?,41 + 7,48,Addition
मोनू के पास 69 संतरे थे। उसने 34 संतरे दे दिए। अब उसके पास कितने संतरे बचें?,69 - 34,35,Subtraction
रवि के पास 2 कपड़े थे। उसने 43 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,2 + 43,45,Addition
अमित ने 11 डिब्बे सेब खरीदे। हर डिब्बे में 6 सेब थे। कुल कितने सेब हुए?,11 * 6,66,Multiplication
सुमित ने 2 डिब्बे खिलौने खरीदे। हर डिब्बे में 7 खिलौने थे। कुल कितने खिलौने हुए?,2 * 7,14,Multiplication
सोनू के पास 44 टॉफियाँ थे। उसने 22 टॉफियाँ दे दिए। अब उसके पास कितने टॉफियाँ बचें?,44 - 22,22,Subtraction
रवि ने 20 डिब्बे आम खरीदे। हर डिब्बे में 3 आम थे। कुल कितने आम हुए?,20 * 3,60,Multiplication
श्याम के पास 26 कपड़े थे। उसने 13 और कपड़े खरीदे। अब उसके पास कुल कितने कपड़े हैं?,26 + 13,39,Addition
सीमा ने 12 डिब्बे किताबें खरीदे। हर डिब्बे में 9 किताबें थे। कुल कितने किताबें हुए?,12 * 9,108,Multiplication
श्याम के पास 46 गेंदें थे। उसने 20 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,46 + 20,66,Addition
सीमा ने 3 डिब्बे बिस्कुट खरीदे। हर डिब्बे में 8 बिस्कुट थे। कुल कितने बिस्कुट हुए?,3 * 8,24,Multiplication
सोनू के पास 35 गेंदें थे। उसने 47 और गेंदें खरीदे। अब उसके पास कुल कितने गेंदें हैं?,35 + 47,82,Addition
